"지역별","성별",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"지역별","성별",급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명)
"지역별","성별",계,1시간미만,1-3시간미만,3-6시간미만,6시간이상,미상,계,1시간미만,1-3시간미만,3-6시간미만,6시간이상,미상,계,1시간미만,1-3시간미만,3-6시간미만,6시간이상,미상,계,1시간미만,1-3시간미만,3-6시간미만,6시간이상,미상
"전북","남",659,126,187,64,267,15,2096,357,452,243,1004,40,1229,750,458,21,0,0,2943,1200,713,272,689,69
"전북","여",335,34,79,55,162,5,1946,301,463,224,910,48,605,369,226,9,1,0,1441,522,333,142,413,31
"전남","계",538,81,150,100,207,0,1762,363,473,211,714,1,985,601,368,15,1,0,3237,1427,729,313,763,5
"전남","남",363,61,115,62,125,0,979,204,266,113,395,1,656,393,253,10,0,0,2046,936,477,187,443,3
"전남","여",175,20,35,38,82,0,783,159,207,98,319,0,329,208,115,5,1,0,1191,491,252,126,320,2
"경북","계",1213,265,340,193,398,17,3901,841,1001,492,1493,74,2436,1809,610,16,1,0,8070,4020,1789,548,1632,81
"경북","남",850,209,238,138,254,11,1954,419,494,227,768,46,1629,1197,419,12,1,0,5244,2744,1214,344,888,54
"경북","여",363,56,102,55,144,6,1947,422,507,265,725,28,807,612,191,4,0,0,2826,1276,575,204,744,27
"경남","계",1611,309,442,238,589,33,4118,694,1057,573,1653,141,2140,1128,984,28,0,0,5303,2071,1441,487,1228,76
"경남","남",1093,226,308,155,378,26,2250,393,566,316,892,83,1421,740,660,21,0,0,3481,1399,982,316,725,59
"경남","여",518,83,134,83,211,7,1868,301,491,257,761,58,719,388,324,7,0,0,1822,672,459,171,503,17
"제주","계",418,91,111,52,108,56,1610,324,367,204,580,135,925,742,176,6,1,0,2785,1100,578,200,493,414
"제주","남",295,72,76,36,72,39,881,191,199,109,302,80,586,465,117,3,1,0,1687,683,350,114,269,271
"제주","여",123,19,35,16,36,17,729,133,168,95,278,55,339,277,59,3,0,0,1098,417,228,86,224,143
