"지역별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"지역별(1)","성별(1)",급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),급성심근경색 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),뇌졸중 (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(SRR) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명),중증외상(ICISS) (명)
"지역별(1)","성별(1)",계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력,계,119구급차,병원구급차,기타구급차,경찰차 등 공공차량,항공이송,기타자동차,도보,기타,미상 및 미입력
"대전","여",334,91,39,63,0,0,106,30,5,0,2118,649,211,288,0,0,728,195,47,0,649,278,67,145,2,0,132,24,1,0,2067,856,185,347,2,0,595,69,13,0
"울산","계",374,83,52,72,0,0,147,18,2,0,1382,396,137,224,0,0,521,89,15,0,835,350,107,189,1,0,158,27,3,0,1991,797,167,346,2,0,465,201,12,1
"울산","남",271,67,40,42,0,0,107,14,1,0,761,212,71,126,0,0,280,65,7,0,603,254,79,135,1,0,111,21,2,0,1396,575,123,239,2,0,304,144,9,0
"울산","여",103,16,12,30,0,0,40,4,1,0,621,184,66,98,0,0,241,24,8,0,232,96,28,54,0,0,47,6,1,0,595,222,44,107,0,0,161,57,3,1
"경기","계",4952,1578,318,812,1,2,1646,522,58,15,19101,7520,775,2430,16,4,6713,1239,310,94,7541,3835,342,1422,12,36,1498,294,85,17,21067,9939,807,2914,25,44,5237,1680,366,55
"경기","남",3414,1117,187,520,1,2,1160,384,31,12,10460,4081,399,1227,13,4,3800,734,150,52,5108,2603,248,991,10,30,973,193,51,9,13372,6304,497,1853,21,36,3317,1111,200,33
"경기","여",1538,461,131,292,0,0,486,138,27,3,8641,3439,376,1203,3,0,2913,505,160,42,2433,1232,94,431,2,6,525,101,34,8,7695,3635,310,1061,4,8,1920,569,166,22
"강원","계",1381,299,298,256,1,5,404,100,18,0,3468,1096,490,375,4,12,1165,262,64,0,1994,829,387,374,2,20,308,53,21,0,4017,1591,633,563,4,33,947,180,66,0
"강원","남",912,217,181,163,1,2,276,62,10,0,1963,637,253,206,4,5,674,151,33,0,1345,578,268,254,1,14,194,26,10,0,2698,1093,423,376,2,23,628,119,34,0
"강원","여",469,82,117,93,0,3,128,38,8,0,1505,459,237,169,0,7,491,111,31,0,649,251,119,120,1,6,114,27,11,0,1319,498,210,187,2,10,319,61,32,0
